setting,s,MSE,se
1,1,1.4007394313812256,0.00033150523086078465
1,4,1.7070878744125366,0.00044416406308300793
1,7,1.8782742023468018,0.00048566574696451426
1,10,1.9070091247558594,0.0004950104048475623
2,1,7.013382911682129,0.0006037043640390038
2,4,5.067912578582764,0.0009826223831623793
2,7,4.517128944396973,0.0008892235928215086
2,10,5.016779899597168,0.0009421208524145186
3,1,0.7472279071807861,0.00023947450972627848
3,4,0.9799188375473022,0.0002963760052807629
3,7,1.2427148818969727,0.0003872114175464958
3,10,1.2891615629196167,0.00039727211697027087
4,1,29.493818283081055,0.0037463100161403418
4,4,21.034530639648438,0.004221084527671337
4,7,18.729820251464844,0.003860565833747387
4,10,19.698108673095703,0.00391247496008873
